GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Shared Module,com.cncf.scanner.service,SearchTopicService.SearchTopicStats,0,15,0,0,0,6,0,3,0,3
Shared Module,com.cncf.scanner.service,ThemeService,93,0,2,0,20,0,12,0,11,0
Shared Module,com.cncf.scanner.service,TopicService,129,0,0,0,25,0,15,0,15,0
Shared Module,com.cncf.scanner.service,SourceService,143,0,4,0,29,0,16,0,14,0
Shared Module,com.cncf.scanner.service,SearchTopicService,16,181,3,3,0,40,5,15,2,15
Shared Module,com.cncf.scanner.model,SearchTopic,52,90,0,0,20,35,15,13,15,13
Shared Module,com.cncf.scanner.model,ScanHistory,116,0,0,0,44,0,23,0,23,0
Shared Module,com.cncf.scanner.model,Theme,65,0,0,0,28,0,16,0,16,0
Shared Module,com.cncf.scanner.model,Topic,157,0,0,0,62,0,32,0,32,0
Shared Module,com.cncf.scanner.model,TopicThemeId,73,0,10,0,16,0,13,0,8,0
Shared Module,com.cncf.scanner.model,TopicTheme,55,0,0,0,22,0,11,0,11,0
Shared Module,com.cncf.scanner.model,Source,85,27,0,0,32,13,19,5,19,5
